"ID";"Name";"global_id";"IsNetObject";"OperatingCompany";"TypeObject";"AdmArea";"District";"Address";"PublicPhone";"SeatsCount";"SocialPrivileges";"Longitude_WGS84";"Latitude_WGS84";"geoData";"geodata_center";
"Код";"Наименование";"global_id";"Является сетевым";"Название управляющей компании";"Вид объекта";"Административный округ по адресу";"Район";"Адрес";"Контактный телефон";"Число посадочных мест";"Показатель социальных льгот";"Долгота в WGS-84";"Широта в WGS-84";"geoData";"geodata_center";
"000077874";"Родник";"637376331";"нет";"";"кафе";"Центральный административный округ";"Таганский район";"город Москва, улица Талалихина, дом 2/1, корпус 1";"nested data";"35";"нет";"37.6733061300344000";"55.7382386551547000";"{coordinates=[37.67330613, 55.738238655], type=Point}";"{coordinates=[37.67330613, 55.738238655], type=Point}";
"000024309";"Кафе «Академия»";"637376349";"нет";"";"ресторан";"Центральный административный округ";"Таганский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Абельмановская улица, дом 6";"nested data";"95";"нет";"37.6696475969381000";"55.7355114718314000";"{coordinates=[37.669647597, 55.735511472], type=Point}";"{coordinates=[37.669647597, 55.735511472], type=Point}";
"000027429";"ГБОУ «Школа № 1430 имени Героя Социалистического Труда Г.В. Кисунько» Школа № 1051";"637376480";"нет";"";"столовая";"Северо-Восточный административный округ";"район Лианозово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Угличская улица, дом 17";"nested data";"240";"нет";"37.5669400000000020";"55.9040188006692200";"{coordinates=[37.56694, 55.904018801], type=Point}";"{coordinates=[37.56694, 55.904018801], type=Point}";
"00148815";"Брусника";"637376481";"да";"Брусника";"кафе";"Центральный административный округ";"район Арбат";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, переулок Сивцев Вражек, дом 6/2";"nested data";"10";"нет";"37.5980890000000020";"55.7474487549306520";"{coordinates=[37.598089, 55.747448755], type=Point}";"{coordinates=[37.598089, 55.747448755], type=Point}";
"000023394";"Хинкальная Гогиели";"637376678";"нет";"";"кафе";"Юго-Восточный административный округ";"район Лефортово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 49/1";"nested data";"24";"нет";"37.7199503788590680";"55.7492759892765620";"{coordinates=[37.719950379, 55.749275989], type=Point}";"{coordinates=[37.719950379, 55.749275989], type=Point}";
"000022579";"Алло Пицца";"637376719";"да";"Алло Пицца";"кафе";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 14";"nested data";"32";"нет";"37.3985310000000060";"55.6451027253735970";"{coordinates=[37.398531, 55.645102725], type=Point}";"{coordinates=[37.398531, 55.645102725], type=Point}";
"000023670";"ГБОУ ШКОЛА 1542";"637376788";"нет";"";"столовая";"Западный административный округ";"район Солнцево";"город Москва, улица Щорса, дом 6, корпус 1";"nested data";"60";"нет";"37.4015759999999990";"55.6463957257453290";"{coordinates=[37.401576, 55.646395726], type=Point}";"{coordinates=[37.401576, 55.646395726], type=Point}";
"000023663";"ГБОУ Школа 1542";"637376797";"нет";"";"столовая";"Западный административный округ";"район Солнцево";"город Москва, улица Авиаторов, дом 8, корпус 2";"nested data";"60";"нет";"37.3997470000000050";"55.6469507259048800";"{coordinates=[37.399747, 55.646950726], type=Point}";"{coordinates=[37.399747, 55.646950726], type=Point}";
"000028751";"ГБОУ Школа № 1411 (970)";"637377440";"нет";"";"столовая";"Северо-Восточный административный округ";"район Отрадное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Алтуфьевское шоссе, дом 42Б";"nested data";"120";"да";"37.5890450000000060";"55.8729327915379560";"{coordinates=[37.589045, 55.872932792], type=Point}";"{coordinates=[37.589045, 55.872932792], type=Point}";
"000029223";"СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ";"637377631";"нет";"";"столовая";"Северо-Восточный административный округ";"район Свиблово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, улица Амундсена, дом 10, корпус 2";"nested data";"192";"да";"37.6593141253827780";"55.8534124680510050";"{coordinates=[37.659314125, 55.853412468], type=Point}";"{coordinates=[37.659314125, 55.853412468], type=Point}";
"000027439";"ГБОУ Школа № 763";"637377662";"нет";"";"столовая";"Северо-Восточный административный округ";"Лосиноостровский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лосиноостровский, Анадырский проезд, дом 51";"nested data";"240";"да";"37.7041970000000000";"55.8790310000000000";"{coordinates=[37.704197, 55.879031], type=Point}";"{coordinates=[37.704197, 55.879031], type=Point}";
"000022767";"Мархал";"637377767";"нет";"";"кафе";"Северный административный округ";"район Западное Дегунино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, Ангарская улица, дом 1, корпус 2";"nested data";"120";"нет";"37.5097991838943370";"55.8717921738328090";"{coordinates=[37.509799184, 55.871792174], type=Point}";"{coordinates=[37.509799184, 55.871792174], type=Point}";
"000024387";"КАФЕ ГОТИКА";"637377794";"да";"Готика";"ресторан";"Северный административный округ";"Дмитровский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Ангарская улица, дом 39";"nested data";"40";"да";"37.5247179716598680";"55.8791466847633490";"{coordinates=[37.524717972, 55.879146685], type=Point}";"{coordinates=[37.524717972, 55.879146685], type=Point}";
"000029006";"ГИМНАЗИЯ 1527 «КДП»";"637377845";"нет";"";"столовая";"Южный административный округ";"район Нагатинский Затон";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 17, корпус 5";"nested data";"240";"нет";"37.6687060000000000";"55.6826517361862300";"{coordinates=[37.668706, 55.682651736], type=Point}";"{coordinates=[37.668706, 55.682651736], type=Point}";
"000069243";"Суши Wok";"637377924";"да";"Суши Wok";"кафе";"Южный административный округ";"район Нагатино-Садовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, проспект Андропова, дом 30";"nested data";"4";"нет";"37.6627060400079000";"55.6788166451702000";"{coordinates=[37.66270604, 55.678816645], type=Point}";"{coordinates=[37.66270604, 55.678816645], type=Point}";
